ActivityStartDate,CharacteristicName,ResultMeasureValue
8/25/2020,DO,6.97
2/24/2020,temp,5.5
3/11/2019,temp,5.41
9/13/2019,Nitrate,4.46
1/16/2019,temp,4.1
2/22/2018,temp,3.36
2/26/2019,temp,3.27
1/13/2018,temp,3.26
2/26/2019,temp,3.26
1/15/2018,temp,2.25
12/18/2017,temp,1.88
12/18/2017,temp,1.88
12/4/2018,temp,1.78
6/11/2018,Nitrate,1.65
10/7/2019,Nitrate,1.64
9/9/2019,Nitrate,1.51
9/9/2019,Nitrate,1.49
9/11/2020,Nitrate,1.39
12/19/2019,temp,1.36
12/18/2017,Nitrate,1.35
8/4/2018,Nitrate,1.3
8/27/2019,Nitrate,1.3
12/19/2019,Nitrate,1.27
12/4/2018,Nitrate,1.26
12/18/2017,Nitrate,1.24
7/9/2018,Nitrate,1.24
8/4/2018,Nitrate,1.23
7/15/2019,Nitrate,1.23
8/4/2018,Nitrate,1.21
2/26/2019,Nitrate,1.2
2/26/2019,Nitrate,1.18
10/9/2017,Nitrate,1.16
1/15/2018,Nitrate,1.12
1/13/2018,Nitrate,1.11
8/25/2020,Nitrate,1.1
4/23/2018,Nitrate,1.08
2/22/2018,Nitrate,1.06
9/13/2019,Nitrate,1.01
1/16/2019,Nitrate,0.98
7/6/2020,Nitrate,0.98
3/11/2019,Nitrate,0.927
3/19/2018,Nitrate,0.916
11/6/2017,Nitrate,0.86
11/4/2019,Nitrate,0.841
11/4/2019,Nitrate,0.83
5/20/2019,Nitrate,0.828
6/17/2019,Nitrate,0.828
2/24/2020,Nitrate,0.825
3/25/2019,Nitrate,0.816
9/17/2018,Nitrate,0.785
8/13/2018,Nitrate,0.782
5/7/2018,Nitrate,0.779
11/7/2018,Nitrate,0.771
5/20/2019,Nitrate,0.754
10/8/2018,Nitrate,0.751
3/9/2020,Nitrate,0.735
3/9/2020,Nitrate,0.731
5/13/2020,Nitrate,0.728
4/22/2019,Nitrate,0.579
4/19/2020,Nitrate,0.559
6/20/2020,Nitrate,0.528
9/13/2019,Nitrite,0.077
10/7/2019,Nitrite,0.028
7/9/2018,Nitrite,0.023
9/13/2019,Nitrite,0.023
7/15/2019,Nitrite,0.019
8/27/2019,Nitrite,0.019
9/9/2019,Nitrite,0.019
9/9/2019,Nitrite,0.018
8/25/2020,Nitrite,0.017
9/11/2020,Nitrite,0.016
6/11/2018,Nitrite,0.014
1/13/2018,Nitrite,0.013
10/9/2017,Nitrite,0.012
12/18/2017,Nitrite,0.012
1/15/2018,Nitrite,0.012
5/7/2018,Nitrite,0.012
1/16/2019,Nitrite,0.012
3/9/2020,Nitrite,0.012
3/9/2020,Nitrite,0.012
6/20/2020,Nitrite,0.012
8/4/2018,Nitrite,0.0118
8/4/2018,Nitrite,0.0111
6/17/2019,Nitrite,0.011
2/24/2020,Nitrite,0.011
8/4/2018,Nitrite,0.0101
12/18/2017,Nitrite,0.01
12/19/2019,Nitrite,0.01
11/6/2017,Nitrite,0.009
2/22/2018,Nitrite,0.009
12/4/2018,Nitrite,0.009
3/11/2019,Nitrite,0.009
11/4/2019,Nitrite,0.009
11/4/2019,Nitrite,0.009
7/6/2020,Nitrite,0.009
10/8/2018,Nitrite,0.008
2/26/2019,Nitrite,0.008
9/17/2018,Nitrite,0.007
2/26/2019,Nitrite,0.007
3/25/2019,Nitrite,0.007
4/19/2020,Nitrite,0.007
5/13/2020,Nitrite,0.007
4/22/2019,Nitrite,0.0067
4/23/2018,Nitrite,0.005
11/7/2018,Nitrite,0.005
5/20/2019,Nitrite,0.005
5/20/2019,Nitrite,0.005
3/19/2018,Nitrite,0.004
